amfi_code,scheme_name,fund_house,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,score,fund_rank
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,65.14,27.0,32.29,0.9498,0.3006,-31.17,1.52,10.0,13.0,2.0,26.5,37.0,72.80625543006083,12
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,33.98,22.65,24.05,1.0817,0.2183,-17.41,1.51,14.0,8.0,11.0,24.5,23.0,72.63249348392704,13
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,5.71,16.27,21.52,0.9533,0.1987,-11.8,0.66,23.0,12.0,15.0,4.0,11.0,71.85056472632495,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,28.68,18.43,19.02,0.7758,0.1773,-15.2,0.92,19.0,18.0,16.0,14.0,18.0,62.46741963509993,15
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,22.49,20.01,15.96,0.6649,0.1514,-11.65,0.89,17.0,19.0,23.0,13.0,10.0,62.119895742832334,16
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,25.54,21.09,16.27,0.6452,0.1564,-18.63,0.72,15.0,21.0,22.0,5.5,26.0,61.51172893136404,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,20.21,19.67,18.23,0.8171,0.1705,-10.86,1.57,18.0,16.0,19.0,34.0,7.0,56.55951346655085,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,8.49,13.98,18.79,0.798,0.177,-13.9,1.42,25.0,17.0,17.0,20.0,14.0,54.64813205907908,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.27,14.75,22.52,0.9263,0.2087,-15.27,1.52,24.0,15.0,14.0,26.5,19.0,54.387489139878376,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,41.82,18.42,17.08,0.6489,0.1625,-19.83,1.41,20.0,20.0,20.0,19.0,27.0,51.17289313640313,21
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.43,7.39,7.24,0.4957,0.0675,-0.1,0.74,29.0,23.0,31.0,7.0,1.0,46.82884448305822,22
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,19.77,20.82,7.9,0.1296,0.0823,-21.75,0.75,16.0,29.0,28.0,8.0,31.0,46.30755864465682,23
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,13.58,25.56,16.84,0.6195,0.1621,-21.54,1.64,13.0,22.0,21.0,39.5,30.0,44.30929626411817,24
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,18.11,18.04,13.39,0.464,0.1317,-14.84,1.54,21.0,25.0,24.0,30.5,16.0,40.834057341442225,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,15.44,11.25,11.3,0.3006,0.1199,-21.12,0.78,26.0,27.0,26.0,10.0,29.0,38.66203301476978,26
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,7.12,6.7,6.92,-0.0887,0.0646,-0.12,0.6,30.0,34.0,32.0,3.0,2.0,37.271937445699415,27
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,16.84,17.27,13.53,0.4943,0.1304,-17.57,1.59,22.0,24.0,25.0,35.0,24.0,34.83927019982625,28
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,15.81,8.01,16.37,0.4484,0.175,-23.34,1.53,27.0,26.0,18.0,28.5,32.0,33.362293657688994,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,10.45,4.06,5.32,-0.3566,0.0507,-8.32,0.55,33.0,38.0,35.0,1.0,6.0,28.236316246741982,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,5.52,5.84,5.89,-0.2266,0.0562,-4.33,0.77,32.0,37.0,34.0,9.0,5.0,27.01998262380539,31
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,7.24,6.32,6.51,-0.8156,0.0609,-0.16,0.79,31.0,40.0,33.0,11.0,3.0,25.803649000868834,32
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,3.7,3.92,4.46,-0.5671,0.0428,-4.31,0.56,34.0,39.0,38.0,2.0,4.0,24.41355343179845,33
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,22.5,7.76,6.7,0.076,0.078,-24.0,1.56,28.0,30.0,29.0,33.0,33.0,18.505647263249354,34
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,13.95,-1.34,2.05,-0.0572,0.0488,-52.57,0.72,38.0,32.0,36.0,5.5,40.0,13.379669852302372,35
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,1.61,0.53,6.37,0.0308,0.069,-14.4,1.64,36.0,31.0,30.0,39.5,15.0,11.468288444830607,36
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,-23.99,-4.15,7.94,0.1627,0.109,-35.45,1.53,39.0,28.0,27.0,28.5,38.0,10.773240660295423,37
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-42.8,-11.71,1.52,-0.076,0.048,-51.68,1.38,40.0,33.0,37.0,17.0,39.0,4.083405734144237,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,-2.22,1.29,2.64,-0.2015,0.0375,-24.73,1.55,35.0,35.0,39.0,32.0,34.0,0.08688097306691808,39
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-16.8,-0.77,1.17,-0.2058,0.029,-28.0,1.51,37.0,36.0,40.0,24.5,35.0,0.0,40
